cow ,days,TP,ALB,BUN,TCHO,GOT,GGT,Ca,IP,GLU,NH3,NEFA,BHB
1,64,7.8,2.9,5.1,103,69,20,8.7,6.5,53,113,79,405
2,83,6.9,2.9,7.3,75,42,17,9.3,5.9,65,143,105,288.8
3,63,6.2,3,4.8,87,38,12,8.3,7,62,92,77,700
4,99,7.2,3.2,12.3,76,43,22,9.5,6.9,63,77,78,291.4
5,53,7.3,3,3.9,94,50,7,8.6,5.3,62,105,213,157
6,56,7,3.4,5,174,50,34,9.6,6.3,67,70,84,581
7,67,7.3,2.9,5.1,94,40,6,8.9,6.4,72,80,47,320
8,42,7.9,3.8,7,118,59,63,9.7,6.5,72,110,31,286
9,78,6.9,3.1,8.1,82,44,24,9,6.9,64,113,73,447.2
10,71,7.6,3.6,4.6,77,133,6,9.6,5.7,69,110,273,451
11,90,7.5,3.3,8,92,52,24,9.7,5.7,62,79,52,491.4
12,72,7.5,3,7,121,71,6,8.7,7.3,66,83,183,260
13,90,6.6,3.1,9.7,96,59,17,9.6,7.4,69,110,85,541.7
14,118,6.4,3,6.9,131,45,15,10.1,6.6,67,103,85,329.1
15,78,6.3,3.4,3.6,137,57,13,10.6,6.5,73,66,88,652.6
16,66,6.6,3.3,8.3,165,47,23,9.4,7.6,60,112,89,339.8